city,Month,Monthly_Mean_T2M_MAX
Agra,1,22.828145161290323
Agra,2,27.731221719457015
Agra,3,34.11262365591398
Agra,4,40.05726666666667
Agra,5,43.23243010752689
Agra,6,42.313044444444444
Agra,7,36.121483870967744
Agra,8,33.16554838709677
Agra,9,33.135933333333334
Agra,10,32.926967741935485
Agra,11,28.76408888888889
Agra,12,24.21509677419355
Chitrakoot,1,24.03235887096774
Chitrakoot,2,29.05796380090498
Chitrakoot,3,35.007118279569895
Chitrakoot,4,40.70295555555556
Chitrakoot,5,43.32479569892473
Chitrakoot,6,40.63373333333333
Chitrakoot,7,33.84083870967742
Chitrakoot,8,31.606860215053764
Chitrakoot,9,31.1994
Chitrakoot,10,31.026580645161292
Chitrakoot,11,28.000600000000002
Chitrakoot,12,24.48662365591398
Ghazipur,1,24.065443548387094
Ghazipur,2,29.087285067873303
Ghazipur,3,35.42907526881721
Ghazipur,4,40.98017777777778
Ghazipur,5,42.612
Ghazipur,6,40.982733333333336
Ghazipur,7,34.800559139784944
Ghazipur,8,32.86230107526882
Ghazipur,9,32.12317777777778
Ghazipur,10,31.330129032258064
Ghazipur,11,28.320800000000002
Ghazipur,12,24.549870967741935
Hamirpur,1,23.658568548387095
Hamirpur,2,28.574276018099546
Hamirpur,3,34.81262365591398
Hamirpur,4,40.647866666666665
Hamirpur,5,43.540172043010756
Hamirpur,6,41.738311111111116
Hamirpur,7,35.27410752688172
Hamirpur,8,32.307913978494625
Hamirpur,9,32.13155555555556
Hamirpur,10,32.12559139784946
Hamirpur,11,28.57213333333333
Hamirpur,12,24.484129032258068
Jaunpur,1,23.250241935483874
Jaunpur,2,28.29766968325792
Jaunpur,3,34.96941935483871
Jaunpur,4,40.76746666666667
Jaunpur,5,42.823849462365594
Jaunpur,6,41.25855555555555
Jaunpur,7,34.25372043010753
Jaunpur,8,32.303010752688174
Jaunpur,9,31.857533333333333
Jaunpur,10,30.916774193548385
Jaunpur,11,27.584933333333332
Jaunpur,12,23.846967741935483
Jhasi,1,23.77975806451613
Jhasi,2,28.937579185520363
Jhasi,3,35.38774193548387
Jhasi,4,41.184622222222224
Jhasi,5,43.57301075268818
Jhasi,6,41.56375555555555
Jhasi,7,34.59836559139785
Jhasi,8,32.442
Jhasi,9,32.1554
Jhasi,10,31.673763440860213
Jhasi,11,28.218466666666664
Jhasi,12,24.33458064516129
Kanpur,1,22.820060483870968
Kanpur,2,27.70814479638009
Kanpur,3,34.43849462365591
Kanpur,4,40.47495555555555
Kanpur,5,42.54651612903226
Kanpur,6,41.13653333333333
Kanpur,7,34.21658064516129
Kanpur,8,32.31797849462366
Kanpur,9,31.775933333333334
Kanpur,10,30.607225806451613
Kanpur,11,27.1604
Kanpur,12,23.486279569892474
Lucknow,1,22.712701612903224
Lucknow,2,27.40445701357466
Lucknow,3,34.12567741935484
Lucknow,4,40.24311111111111
Lucknow,5,42.76638709677419
Lucknow,6,41.62224444444444
Lucknow,7,34.4796559139785
Lucknow,8,32.67660215053763
Lucknow,9,32.1538
Lucknow,10,31.37731182795699
Lucknow,11,27.79135555555556
Lucknow,12,23.737849462365592
Prayagraj(Allahabad),1,23.62709677419355
Prayagraj(Allahabad),2,28.837330316742083
Prayagraj(Allahabad),3,35.288215053763444
Prayagraj(Allahabad),4,41.184333333333335
Prayagraj(Allahabad),5,43.72393548387097
Prayagraj(Allahabad),6,41.650600000000004
Prayagraj(Allahabad),7,34.87658064516129
Prayagraj(Allahabad),8,32.674344086021506
Prayagraj(Allahabad),9,32.31117777777778
Prayagraj(Allahabad),10,31.824537634408603
Prayagraj(Allahabad),11,28.239133333333335
Prayagraj(Allahabad),12,24.27909677419355
Varanasi,1,24.251431451612902
Varanasi,2,29.255588235294116
Varanasi,3,35.63415053763441
Varanasi,4,41.13388888888889
Varanasi,5,43.07245161290322
Varanasi,6,41.29524444444444
Varanasi,7,34.57769892473118
Varanasi,8,32.628516129032256
Varanasi,9,32.172244444444445
Varanasi,10,31.497913978494626
Varanasi,11,28.49226666666667
Varanasi,12,24.692537634408602
